category,date,reviewer_or_outlet,role,product_or_topic,rating,body,url
Testimonial,,O'Shea Read,"Associate Producer, ""I Melt With You""",EZQuest Studio V Storage Array (discontinued),,"I cannot say enough great things about EZQuest drives. After years of buggy unreliable drives, I have finally found a company/Drive that is not only reliable, but fast! We recently wrapped shooting on the feature ""I Melt With You"", cutting on Final Cut, and using the EZQuest Studio V for all of our editorial storage. Every day we shot with at least 4 cameras on an 18 day shoot...So you can only imagine the amount of media. Using the Studio V gave me the confidence that our media was safe and secure. We couldn't have finished the film without them.",
Testimonial,12/15/2009,Skip Longfellow,"First Assistant Sound Editor (Moulin Rouge, X-Men, Max Payne, Tropic Thunder, The A-Team)",Thunder Pro A/V Quad Interface Drive 1TB (discontinued),,"Enclosed is the 1TB Thunder Pro drive you generously let us test for the last month. We have put the drive through some rigorous tests, asking it to play back the most demanding ProTools session we have generated to date, carrying 203 tracks, in excess of the 192 tracks ProTools allows to be voiced at a single time. Long, continuous audio tracks are the hardest thing for ProTools to play back without issue, and this session exacerbates that burden with hundreds of edits. This is a massive session, and only the most robust systems can even attempt to play it back without interruption. By reducing the voice count to 144 tracks, we could get the drive to play back all voiced tracks, sometimes playing for several minutes across complicated re-edited sections. That is no small feat, especially considering both audio and video were being forced down a single FireWire 800 cable. An FX editor in our shop and a MX editor on the film I'm currently working on have recently purchased several of these drives as a direct result of seeing the Thunder Pro's handling of this brutal session. Please accept our thanks for allowing us time to test the drive.",
Press mention,04/09/2022,CNet.com,,Best USB-C hub / docking station,,,https://www.cnet.com/tech/computing/best-usb-c-hub-docking-station/
Press mention,03/12/2022,iMore.com,,New range of USB-C GaN chargers 20W-120W,,,https://www.imore.com/ezquest-has-new-range-new-usb-c-gan-chargers-20w-120w
Press mention,03/10/2022,GameInformer.com,,Spring Buying Guide 2022,,,https://www.gameinformer.com/2022/spring-buying-guide
Press mention,03/08/2022,TechRadar.com,,Best business technology and productivity gadgets,,,https://www.techradar.com/news/the-best-business-technology-and-productivity-gadgets
Press mention,03/04/2022,DigitalCameraWorld.com,,Best USB-C hubs,,,https://www.digitalcameraworld.com/buying-guides/best-usb-c-hubs
Press mention,02/15/2022,TechAdvisor.com,,USB-C hubs test centre,,,https://www.techadvisor.com/test-centre/pc-peripheral/usb-c-hubs-3683402/
Press mention,02/03/2022,DallasNews.com,,Two gadgets to improve your work-from-home situation,,,https://www.dallasnews.com/business/technology/2022/02/03/two-gadgets-to-improve-your-work-from-home-situation/
Press mention,01/31/2022,RollingStone.com,,Best high-speed HDMI cable,,,https://www.rollingstone.com/product-recommendations/electronics/best-high-speed-hdmi-cable-1278172/
Press mention,01/28/2022,GamesRadar.com,,Best HDMI cables for gaming,,,https://www.gamesradar.com/uk/best-hdmi-cables-for-gaming/
Press mention,01/09/2022,CNet.com,,Most interesting USB-C accessories at CES 2022,,,https://www.cnet.com/tech/computing/here-are-the-most-interesting-usb-c-accessories-at-ces-2022/
Press mention,01/05/2022,Forbes.com,,EZQuest unveils 12-port USB-C hub for Apple M1 Macs,,,https://www.forbes.com/sites/marksparrow/2022/01/05/ezquest-unveils-12-port-usb-c-hub-for-apples-latest-m1-macs/
Press mention,11/12/2021,Forbes.com,,EZQuest brand-new hub for USB-C peripherals,,,https://www.forbes.com/sites/marksparrow/2021/11/12/ezquests-brand-new-hub-is-perfect-for-those-usb-c-peripherals/
Press mention,11/12/2021,LaptopMag.com,,EZQuest USB-C Multimedia Hub review,,,https://www.laptopmag.com/reviews/ezquest-usb-c-multimedia-hub
Press mention,09/23/2021,DallasNews.com,,I need more ports,,,https://www.dallasnews.com/business/technology/2021/09/23/i-need-more-ports/
Press mention,12/01/2021,LaptopMag.com,,USB-C hub vs docking station,,,https://www.laptopmag.com/features/usb-c-hub-vs-docking-station
Press mention,12/01/2021,YouTube.com,,Video review,,,https://www.youtube.com/watch?v=WofCffFFGg0
Press mention,12/21/2021,TechDissected.com,,Review: EZQuest USB-C Hub Adapter with 8 ports,,,https://techdissected.com/reviews/accessories/review-ezquest-usb-c-hub-adapter-with-8-ports/
Press mention,12/18/2021,GuidingTech.com,,Best USB-C hubs with SD card reader slot,,,https://www.guidingtech.com/best-usb-c-hubs-with-sd-card-reader-slot/
Press mention,12/09/2021,MacEditionRadio.com,,Review,,,https://maceditionradio.com/node/6226
Press mention,12/07/2021,KnowTechie.com,,2021 Holiday Gift Guide,,,https://knowtechie.com/2021-holiday-gift-guide/
Press mention,12/07/2021,KnowTechie.com,,2021 Holiday Gaming Gift Guide,,,https://knowtechie.com/2021-holiday-gaming-gift-guide/
Press mention,11/30/2021,MacSources.com,,EZQuest USB-C Gen 2 Hub and DuraGuard USB-C Cable review,,,https://macsources.com/ezquest-usb-c-gen-2-hub-and-duraguard-usb-c-cable-review/
Press mention,11/29/2021,Photofocus.com,,EZQuest 5-in-1 USB-C Hub card reader for mobile creators,,,https://photofocus.com/mobile/ezquest-5-1-usb-c-hub-an-almost-perfect-card-reader-for-mobile-creators/
Press mention,11/23/2021,GamingTrend.com,,2021 Holiday Guide - Hardware and Gear,,,https://www.gamingtrend.com/feature/editorials/gaming-trend-2021-holiday-guide-the-hardware-and-gear-edition/
Press mention,11/19/2021,Photoinduced.com,,Annual Holiday Gift Guide Part 1,,,https://www.photoinduced.com/16479/annual-holiday-gift-guide-part-1-road-warrior-or-home-office/
Press mention,11/15/2021,LaptopMag.com,,Best USB Type-C hubs,,,https://www.laptopmag.com/articles/best-usb-type-c-hubs
Press mention,11/15/2021,LaptopMag.com,,Best USB-C hub for MacBook Pro,,,https://www.laptopmag.com/uk/best-picks/best-usb-c-hub-for-macbook-pro
Press mention,11/08/2021,MikePasini.com,,EZQuest reader,,,http://mikepasini.com/corners/2021/11/08-ezquest-reader/index.htm
Press mention,11/06/2021,HighTechDad.com,,EZQuest 8-Port USB-C Multimedia Hub review,,,https://www.hightechdad.com/2021/11/06/have-a-usb-c-mac-you-need-the-ezquest-8-port-usb-c-multimedia-hub-review/
Press mention,09/30/2021,GStyleMag.com,,EZQuest USB-C 8-Port Hub Adapter review,,,https://gstylemag.com/2021/09/30/ezquest-usbc-8-port-hub-adapter-review/
Press mention,10/29/2021,The-Gadgeteer.com,,EZQuest USB-C Multimedia Hub review,,,https://the-gadgeteer.com/2021/10/29/ezquest-usb-c-multimedia-hub-review-lots-of-ports-in-one-compact-device/
Press mention,09/29/2021,Bakersfield.com,,Need more ports for your PCs or tablets,,,https://www.bakersfield.com/ap/news/tech-review-need-more-ports-for-your-pcs-or-tablets-a-look-at-two-usb/article_9f644fb0-6754-5cd6-b5e1-1b5c3c178565.html
Press mention,02/11/2021,DarkVision Hardware,,USB-C Multimedia Hub Adapter 8 Ports 4K 60Hz PD 3.0 (X40228),,,
Press mention,01/30/2021,TheGeekChurch.com,,Ultimate USB-C Multimedia Hub 13 Ports 4K 60Hz PD 3.0 (X40213),,,
Press mention,01/30/2021,TheGeekChurch.com,,USB-C Multimedia Hub 8 Ports 4K 60Hz PD 3.0 (X40228),,,
Press mention,01/30/2021,TheGeekChurch.com,,4-Port USB 3.0 Hub Adapter with USB-C PD 3.0 (X40024),,,
Award,01/2012,TopTenReviews,,EZQuest Pro Monsoon,,Awarded,
Award,04/05/2011,TVTechnology,,EZQuest Studio V Storage Array,,Awarded,
Award,09/08/2010,DV Magazine,,Studio V - Excellence Award,,Excellence Award,
Award,05/28/2009,Macworld Magazine,,Thunder Pro A/V Quad Interface Drive - 4 Mice Award,,4 Mice Award,
Award,02/26/2010,Macworld,,EZQuest Thunder RAID eSATA/USB review,,Reviewed,
