Author Name,Content,Date,Rating,Photos
Swimmer,"This is exactly what I was looking for, it fits in the case with my rog ally / steam deck, with the 100w power I can charge while I play, it disconnects nicely so it won't add as much extra stress to my only usb-c port, and it runs my AR glasses too.",2025-03-10,5,
O. Khouri,"My favourite part is that the host USB cable is detachable.",2025-01-04,5,
Dan R,"This USB C hub is a great way to expand the number of available ports on your computer. It's a nice slim size and doesn't weigh very much, making it easy to pack. The hub has a connection to PC on the top, which includes a high speed 40Gbps/240w cable. This cable is small, at about 20 inches, but the great thing is that it is not attached! This means that you can get and use a longer cable to connect to your PC if needed. I love this, as so many of these hubs have integrated cables that are usually even shorter. The hub has a 4K video out for use with an external monitor, as well as a PD in that supports 100w. The 4 USB C ports are for peripherals, hard drives, etc. It's a quality item and one that I think is a good value. Note that the hub itself must be powered for it to work (about 8 watts), so you will need to plug the PD port into an adapter of some kind. It's a little annoying that it's not simple plug and play, but not the worst thing. For now I would recommend this, especially given the ability to change the output to PC wire. That's a game changer for me.",2024-08-17,5,
Kelli & Darin D,"This review is for the ""USB-C Slim Gen 2 Hub Adapter 6-in-1"" that I ordered via the Vine program. I'm very pleased with this USB Hub as it offers the latest speeds and connectivity options plus up to 80W of PD power to the connected device. I tested this hub with a Dell Laptop and a Microsoft Surface laptop, and it was recognized immediately on both devices. Both laptops were able to quickly charge from the PD passthrough and USB device speeds were as advertised. With an external NVME drive attached, speeds were as expected. Using multiple devices will share this bandwidth so full speed is only achievable with a single device attached. I was also able to power and drive a 4k portable monitor at 60Hz with no issues. The hub is very thin and light making it a perfect companion for travel use. I do think it's a bit on the pricey side, but considering all ports are of the latest generation, it's not out of line. I'll be keeping this hub in my laptop case going forward.",2024-08-18,5,
Vine Reviewer,"Compact and lightweight — this hub has been a game-changer for my iPad and new iPhone 16. It's incredibly small and thin, making it easy to toss in my bag when I'm on the go. With most of my devices shifting to USB-C, this hub has become a go-to. It offers multiple high-speed USB-C ports, supports 4K/60Hz video, and even handles power delivery. It's made connecting everything from external displays to chargers a breeze. Using this with my iPad and iPhone has been seamless. If you're looking to future-proof your setup with something that's portable and efficient, this hub is a solid choice.",2024-10-01,5,
Mat E.,"If you're looking to connect a bunch of standard USB-C devices to your Mac, this works great. I have three things I want to charge and two I want to connect, and it does the job well. Due to faults in M1/M2 Apple Silicon processors, if you're running a screen and maybe a high speed SSD, you can encounter some problems (you will get this with or without this device). I especially like that this unit has a detachable main cable, making it really good for travel.",2025-01-02,5,
N. Story,"I have a lot of peripherals I need to plug into my laptop. I currently have three USB C hubs daisy chained into each other to make things work. This is number 2 in the chain and I have a C-A hub and 2 external hard drives plugged in to this one. Everything works flawlessly and at full speed. For my purposes it's working amazingly well off of host power. Thanks to this little device I have the following all hooked into my laptop off one USB C port: mouse, keyboard, number pad, microphone, headphones, 2 external drives, and 1 HDMI monitor.",2024-08-23,5,
Check this out America!,"So far so good — I was concerned about other reviews' speed issues but so far it's working very well. It is important to understand that this hub will only support 1 video connection and will not work with multiple monitors. Works well for my uses.",2024-08-18,5,
S.D.B.,"This hub is slim & compact and provides six USB-C ports. One port has PD passthrough power and another provides 4K video support. You can have power, an external monitor and four more USB-C peripherals plugged into a single USB-C port on your laptop. No external power is needed and it is very light & small. Perfect for traveling!",2024-09-03,5,
Mark Tan,"It's the only portable usb c that I know of and use (I have two!) that has power pass through and also connects to a USB C monitor (I use a portable monitor that takes USB C plus powered off the single cable). Other hubs will only have HDMI as the video output. The remaining are low-powered slots but nonetheless capable I'm sure for other needs.",2026-05-29,5,
Lee R Clarke,"Great product — very good service.",2025-12-23,5,
Phantasmo,"Hatte für mein Macbook Air einen USBC Adapter gesucht, der viele USBC Ports und nicht USBA besitzt. Dieses Gerät hier ist genau was ich brauchte. Lässt sich auch von Headset + Mikrofon + 2TB Samsung SSD gleichzeitig nicht aus der Ruhe bringen und läuft einfach.",2026-06-04,5,
