legacy_url,shopify_handle,video_kind,video_id_or_url,canonical_url,live,found_in
"https://www.ezq.com/4-port-USB-3-hub-adapter-with-USB-C-PD-3.html","4-port-usb-3-hub-adapter-with-usb-c-pd-3","none","","","",""
"https://www.ezq.com/45w-gan-usb-c-pd-wall-charger.htm","45w-gan-usb-c-pd-wall-charger","none","","","",""
"https://www.ezq.com/65w-gan-usb-c-pd-wall-charger.htm","65w-gan-usb-c-pd-wall-charger","none","","","",""
"https://www.ezq.com/DuraGuard-Coiled-USB-C-Charge-Sync-100W-1.5-Meter-Black-Cable.htm","duraguard-coiled-usb-c-charge-sync-100w-1-5-meter-black-cable","none","","","",""
"https://www.ezq.com/DuraGuard-USB-C-Right-Angled-Charge-Sync-100W-1.2-Meter-Cable.htm","duraguard-usb-c-right-angled-charge-sync-100w-1-2-meter-cable","none","","","",""
"https://www.ezq.com/USB-C-Cfast-2.0-card-reader-5-ports-with-UHS-II-SD-Micro-SD.html","usb-c-cfast-2-0-card-reader-5-ports-with-uhs-ii-sd-micro-sd","none","","","",""
"https://www.ezq.com/USB-C-multimedia-charging-adapter-3-ports.html","usb-c-multimedia-charging-adapter-3-ports","none","","","",""
"https://www.ezq.com/USB-C-multimedia-hub-adapter-8-ports-with-4K-60Hz-power-delivery-3.html","usb-c-multimedia-hub-adapter-8-ports-with-4k-60hz-power-delivery-3","none","","","",""
"https://www.ezq.com/USB-C-to-HDMI-4K-60Hz-adapter.html","usb-c-to-hdmi-4k-60hz-adapter","none","","","",""
"https://www.ezq.com/USB-C-to-displayport-4K-60Hz-cable.html","usb-c-to-displayport-4k-60hz-cable","none","","","",""
"https://www.ezq.com/UltraSlim-70W-GaN-II-Dual-USB-C-PD-Wall-Charger.html","ultraslim-wall-charger-dual-usb-c-70w","none","","","",""
"https://www.ezq.com/WorldTravel-35W-GaN-5-Port-with-PD-Wall-Charger.html","worldtravel-35w-gan-5-port-pd-wall-charger","none","","","",""
"https://www.ezq.com/X40084-mini-displayport-to-HDMI-4K-60HZ-cable.html","mini-displayport-to-hdmi-4k-60hz-cable","none","","","",""
"https://www.ezq.com/X48912-X48922-duraguard-usb-c-to-usb-a-charge-sync-cable.html","duraguard-usb-c-to-usb-a-charge-and-sync-cable","none","","","",""
"https://www.ezq.com/c40012-duraguard-usb4-v2-1point2-meter-cable.htm","c40012-duraguard-usb4-v2-1point2-meter-cable","none","","","",""
"https://www.ezq.com/c41005-duraguard-usb4-v2-0point5-meter-extension-cable.html","c41005-duraguard-usb4-v2-0point5-meter-extension-cable","none","","","",""
"https://www.ezq.com/dual-USB-C-multimedia-hub-13-ports.html","dual-usb-c-multimedia-hub-13-ports","youtube","oCZYgAWf38Y","https://www.youtube.com/embed/oCZYgAWf38Y","yes","page_html"
"https://www.ezq.com/dual-hdmi-usb-c-multimedia-hub-adapter-12-ports.htm","dual-hdmi-usb-c-multimedia-hub-adapter-12-ports","none","","","",""
"https://www.ezq.com/duraguard-USB-C-to-USB-C-charge-and-sync-cable.html","duraguard-usb-c-to-usb-c-charge-and-sync-cable","none","","","",""
"https://www.ezq.com/duraguard-usb-c-to-displayport-4k-60hz-cable-details.html","duraguard-usb-c-to-displayport-4k-60hz-cable","none","","","",""
"https://www.ezq.com/duraguard-usb-c-to-hdmi-4k-60hz-cable-with-hdr-details.html","duraguard-usb-c-to-hdmi-4k-60hz-cable-with-hdr","none","","","",""
"https://www.ezq.com/duraguard-usbc-to-hdmi-8k-60hz-cable-with-hdr-details_ss103.html","duraguard-usbc-to-hdmi-8k-60hz-cable-with-hdr-details-ss103","none","","","",""
"https://www.ezq.com/ezquest-studio-v-quad-esata-usb-3-0-firewire-800-400-raid-system-details.html","magnetic-usb-c-m-2-nvme-ssd-enclosure","error","","","","HTTP_404"
"https://www.ezq.com/gen2-double-sided-usb-c-female-to-usb-3-male-mini-adaptor.htm","gen2-double-sided-usb-c-female-to-usb-3-male-mini-adaptor","none","","","",""
"https://www.ezq.com/high-speed-HDMI-4K-60Hz-cable.html","high-speed-hdmi-premium-certified-4k-60hz-cable","none","","","",""
"https://www.ezq.com/high-speed-hdmi-premium-certified-4k-60hz-cable.html","high-speed-hdmi-premium-certified-4k-60hz-cable","none","","","",""
"https://www.ezq.com/magnetic-usb-c-m-2-nvme-ssd-enclosure-details.html","magnetic-usb-c-m-2-nvme-ssd-enclosure","none","","","",""
"https://www.ezq.com/mini-30w-gan-usb-c-pd-wall-charger.html","mini-30w-gan-usb-c-pd-wall-charger","youtube","FM6IUkPLBY8","https://www.youtube.com/embed/FM6IUkPLBY8","yes","page_html"
"https://www.ezq.com/mini-displayport-to-HDMI-4K-60Hz-cable.html","mini-displayport-to-hdmi-4k-60hz-cable","none","","","",""
"https://www.ezq.com/mini-displayport-to-HDMI-adapter.html","mini-displayport-to-hdmi-4k-60hz-cable","none","","","",""
"https://www.ezq.com/mini-displayport-to-hdmi-cable2.html","mini-displayport-to-hdmi-4k-60hz-cable","none","","","",""
"https://www.ezq.com/thunder-pro-a-v-quad-drive-details.html","magnetic-usb-c-m-2-nvme-ssd-enclosure","error","","","","HTTP_404"
